station,PumpCycle,CO2_umol,closest_hour,month,diff_umol,ebul_umol,date,flux_unit
1,1,NA,2022-05-19T11:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
1,2,NA,2022-05-19T12:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
1,3,NA,2022-05-19T14:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
1,4,512.5070536833343,2022-05-19T15:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
1,5,873.512521495582,2022-05-19T16:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
1,6,363.465684032,2022-05-19T17:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
1,7,324.93313846416004,2022-05-19T18:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
1,8,NA,2022-05-19T19:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
1,9,NA,2022-05-19T20:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
1,10,-457.404539798058,2022-05-19T21:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
1,11,NA,2022-05-19T22:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
1,12,-403.50582482807505,2022-05-19T23:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
1,13,-259.53923419959676,2022-05-20T00:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
1,14,NA,2022-05-20T01:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
1,15,NA,2022-05-20T02:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
1,16,NA,2022-05-20T03:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
1,17,396.09434631972806,2022-05-20T05:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
1,18,638.9895793383392,2022-05-20T06:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
1,19,837.0455033296191,2022-05-20T07:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
1,20,901.9954701509222,2022-05-20T08:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
1,21,1611.0387630472433,2022-05-20T09:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
1,22,2529.8085048515823,2022-05-20T10:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
1,23,3218.0253147888516,2022-05-20T11:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
1,24,NA,2022-05-20T12:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
1,25,2180.1220507153193,2022-05-20T13:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
1,26,1109.4684561892068,2022-05-20T14:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
1,27,NA,2022-05-20T15:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
1,28,NA,2022-05-20T16:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
