Model:	LI-7820
SN:	TG20-01480
Software Version:	2.3.8
Timestamp:	2024-08-05 11:00:50
Timezone:	Europe/Copenhagen
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	N2O	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1722848450	950491905	0	256	""	2024-08-05	11:00:50	nan	nan	100.95	23.3975	100.478	24.34	0	0	23.4002	0	0	16.5028	 56
DATA	1722848451	950459957	21	256	""	2024-08-05	11:00:51	nan	nan	101.362	23.3975	100.886	24.3408	0	0	23.4002	-6400	0	16.4962	222
DATA	1722848452	950421810	31	256	""	2024-08-05	11:00:52	nan	nan	101.925	23.3979	101.439	29.9309	0	0	23.4011	-16000	0	16.4656	  6
DATA	1722848453	950421810	41	256	""	2024-08-05	11:00:53	nan	nan	101.859	23.3982	101.375	34.2139	0	0	23.4018	-16000	0	16.4741	  0
DATA	1722848454	750422000	49	256	""	2024-08-05	11:00:54	nan	nan	101.815	23.3982	101.334	34.6773	0	0	23.4023	-16000	0	16.4777	  0
DATA	1722848455	950322866	61	256	""	2024-08-05	11:00:55	nan	nan	101.787	23.3988	101.306	34.839	0	0	23.4026	-16000	0	16.4775	236
DATA	1722848456	850322961	70	256	""	2024-08-05	11:00:56	nan	nan	101.768	23.3989	101.288	34.8998	0	0	23.4033	-16000	0	16.4739	 46
DATA	1722848457	950322866	81	256	""	2024-08-05	11:00:57	nan	nan	101.754	23.3991	101.276	34.9244	0	0	23.4041	-16000	0	16.4786	 26
DATA	1722848458	950224876	91	256	""	2024-08-05	11:00:58	nan	nan	101.746	23.3996	101.267	34.9283	0	0	23.4049	-16000	0	16.4794	 47
DATA	1722848459	950224876	101	256	""	2024-08-05	11:00:59	nan	nan	101.739	23.3996	101.262	34.9254	0	0	23.4059	-16000	0	16.4794	 85
DATA	1722848460	950224876	111	256	""	2024-08-05	11:01:00	nan	nan	101.734	23.4	101.258	34.9243	0	0	23.4067	-16000	0	16.4793	150
DATA	1722848461	950106859	121	256	""	2024-08-05	11:01:01	nan	nan	101.732	23.4002	101.255	34.9236	0	0	23.4075	-16000	0	16.4783	 38
DATA	1722848462	950106859	131	256	""	2024-08-05	11:01:02	nan	nan	101.731	23.4002	101.253	34.9236	0	0	23.4083	-16000	0	16.4783	 37
DATA	1722848463	950106859	141	256	""	2024-08-05	11:01:03	nan	nan	101.73	23.4009	101.253	34.9236	0	0	23.4091	-16000	0	16.4779	  2
DATA	1722848464	949996709	151	256	""	2024-08-05	11:01:04	nan	nan	101.728	23.4009	101.251	34.9236	0	0	23.41	-16000	0	16.4774	223
DATA	1722848465	949996709	161	256	""	2024-08-05	11:01:05	nan	nan	101.728	23.4013	101.25	34.9236	0	0	23.4107	-16000	0	16.4775	 20
DATA	1722848466	949996709	171	256	""	2024-08-05	11:01:06	nan	nan	101.727	23.4016	101.249	34.9235	0	0	23.4115	-16000	0	16.4772	 76
DATA	1722848467	949895858	181	256	""	2024-08-05	11:01:07	nan	nan	101.727	23.4016	101.25	34.9235	0	0	23.4122	-16000	0	16.4772	 24
DATA	1722848468	949895858	191	256	""	2024-08-05	11:01:08	nan	nan	101.726	23.4023	101.249	34.9232	0	0	23.4129	-16000	0	16.4771	 83
DATA	1722848469	949895858	201	256	""	2024-08-05	11:01:09	nan	nan	101.726	23.4023	101.249	34.9236	0	0	23.4136	-16000	0	16.4771	 79
DATA	1722848470	949787855	211	256	""	2024-08-05	11:01:10	nan	nan	101.727	23.4023	101.248	34.9234	0	0	23.4143	-16000	0	16.4764	 59
DATA	1722848470	949787855	211	256	""	2024-08-05	11:01:10	nan	nan	101.727	23.4023	101.249	34.9232	0	0	23.4148	-16000	0	16.4764	 63
DATA	1722848470	949787855	211	256	""	2024-08-05	11:01:10	nan	nan	101.726	23.4023	101.249	34.9232	0	0	23.4154	-16000	0	16.4785	 62
DATA	1722848473	49787998	232	256	""	2024-08-05	11:01:13	nan	nan	101.725	23.4023	101.247	34.9228	0	0	23.4154	-16000	0	16.4782	 21
DATA	1722848474	49688100	242	256	""	2024-08-05	11:01:14	nan	nan	101.727	23.4025	101.248	34.9235	0	0	23.4161	-16000	0	16.4758	  3
DATA	1722848475	49688100	252	256	""	2024-08-05	11:01:15	nan	nan	101.726	23.403	101.248	34.9232	0	0	23.4167	-16000	0	16.475	156
DATA	1722848476	49688100	262	256	""	2024-08-05	11:01:16	nan	nan	101.726	23.403	101.248	34.9235	0	0	23.4172	-16000	0	16.4747	212
DATA	1722848476	949573755	271	256	""	2024-08-05	11:01:16	nan	nan	101.725	23.4031	101.248	34.9236	0	0	23.4176	-16000	0	16.4747	 75
DATA	1722848477	749573945	279	256	""	2024-08-05	11:01:17	nan	nan	101.726	23.4037	101.248	34.9235	0	0	23.4182	-16000	0	16.4774	 87
DATA	1722848478	249573945	284	256	""	2024-08-05	11:01:18	nan	nan	101.726	23.4037	101.247	34.9236	0	0	23.4187	-16000	0	16.4761	 81
DATA	1722848478	249521017	284	256	""	2024-08-05	11:01:18	nan	nan	101.726	23.4041	101.248	34.9236	0	0	23.4193	-16000	0	16.4754	 59
DATA	1722848478	249521017	284	256	""	2024-08-05	11:01:18	nan	nan	101.726	23.4044	101.249	34.9236	0	0	23.4196	-16000	0	16.4766	 69
DATA	1722848481	549520969	317	256	""	2024-08-05	11:01:21	nan	nan	101.727	23.4044	101.248	34.9236	0	0	23.4201	-16000	0	16.4612	 49
DATA	1722848481	549520969	317	256	""	2024-08-05	11:01:21	nan	nan	101.727	23.4049	101.25	34.9236	0	0	23.4205	-16000	0	16.1648	  9
DATA	1722848482	949401855	331	256	""	2024-08-05	11:01:22	nan	nan	101.729	23.4082	101.251	34.9236	0	0	23.4234	-16000	0	16.1328	 48
DATA	1722848484	249402046	344	256	""	2024-08-05	11:01:24	nan	nan	101.729	23.414	101.252	34.9236	0	0	23.4307	-16000	0	16.126	194
DATA	1722848484	249402046	344	256	""	2024-08-05	11:01:24	nan	nan	101.731	23.4225	101.252	34.9236	0	0	23.4439	-16000	0	16.1218	 40
DATA	1722848484	249304056	344	256	""	2024-08-05	11:01:24	nan	nan	101.733	23.4346	101.255	34.9236	0	0	23.4625	-16000	0	16.1205	 44
DATA	1722848484	249304056	344	256	""	2024-08-05	11:01:24	nan	nan	101.734	23.4502	101.255	34.9236	0	0	23.4827	-16000	0	16.1171	 45
DATA	1722848487	349303960	375	256	""	2024-08-05	11:01:27	nan	nan	101.735	23.4582	101.256	34.9236	0	0	23.4927	-16000	0	16.1157	 74
DATA	1722848487	949303865	381	256	""	2024-08-05	11:01:27	nan	nan	101.736	23.4681	101.256	34.9236	0	0	23.5052	-16000	0	16.1113	 64
DATA	1722848487	949166059	381	256	""	2024-08-05	11:01:27	nan	nan	101.735	23.4866	101.258	34.9236	0	0	23.5266	-16000	0	16.1094	 87
DATA	1722848489	449166059	396	256	""	2024-08-05	11:01:29	nan	nan	101.739	23.4975	101.259	34.9236	0	0	23.5389	-16000	0	16.1078	106
DATA	1722848489	649166107	398	256	""	2024-08-05	11:01:29	nan	nan	101.737	23.5084	101.257	34.9236	0	0	23.5504	-16000	0	16.1044	 74
DATA	1722848491	449166059	416	256	""	2024-08-05	11:01:31	nan	nan	101.738	23.5285	101.259	34.9236	0	0	23.5717	-16000	0	16.1033	 65
DATA	1722848491	449039936	416	256	""	2024-08-05	11:01:31	nan	nan	101.738	23.5502	101.259	34.9236	0	0	23.5937	-16000	0	16.099	 27
DATA	1722848493	249040126	434	256	""	2024-08-05	11:01:33	nan	nan	101.738	23.57	101.259	34.9236	0	0	23.6135	-16000	0	16.0984	214
DATA	1722848494	249040126	444	256	""	2024-08-05	11:01:34	nan	nan	101.738	23.5902	101.26	34.9236	0	0	23.6342	-16000	0	16.094	205
DATA	1722848494	948942899	451	256	""	2024-08-05	11:01:34	nan	nan	101.739	23.6128	101.26	34.9236	0	0	23.6563	-16000	0	16.0913	 36
DATA	1722848496	148942947	463	256	""	2024-08-05	11:01:36	nan	nan	101.738	23.6357	101.259	34.9236	0	0	23.6778	-16000	0	16.0916	 99
DATA	1722848497	48943042	472	256	""	2024-08-05	11:01:37	nan	nan	101.739	23.6579	101.26	34.9236	0	0	23.6993	-16000	0	16.0879	253
DATA	1722848497	948840856	481	256	""	2024-08-05	11:01:37	nan	nan	101.739	23.6807	101.259	34.9236	0	0	23.7214	-16000	0	16.0852	 91
DATA	1722848499	48840999	492	256	""	2024-08-05	11:01:39	nan	nan	101.738	23.7031	101.258	34.9236	0	0	23.7435	-16000	0	16.0853	 42
DATA	1722848499	748841047	499	256	""	2024-08-05	11:01:39	nan	nan	101.738	23.7256	101.258	34.9236	0	0	23.7651	-16000	0	16.0813	 94
DATA	1722848500	848704099	510	256	""	2024-08-05	11:01:40	nan	nan	101.736	23.7486	101.257	34.9236	0	0	23.7879	-16000	0	16.0816	 76
DATA	1722848500	848704099	510	256	""	2024-08-05	11:01:40	nan	nan	101.735	23.7716	101.257	34.9236	0	0	23.8114	-16000	0	16.0786	 60
DATA	1722848500	848704099	510	256	""	2024-08-05	11:01:40	nan	nan	101.735	23.7952	101.255	34.9236	0	0	23.8346	-16000	0	16.078	 13
DATA	1722848500	948694944	510	256	""	2024-08-05	11:01:40	nan	nan	101.734	23.8187	101.255	34.9236	0	0	23.8574	-16000	0	16.0771	 72
DATA	1722848505	148694992	552	256	""	2024-08-05	11:01:45	nan	nan	101.735	23.8411	101.255	34.9236	0	0	23.8804	-16000	0	16.0756	 73
DATA	1722848505	848695039	559	256	""	2024-08-05	11:01:45	nan	nan	101.734	23.8643	101.255	34.9236	0	0	23.9038	-16000	0	16.0723	 80
DATA	1722848506	748490095	569	256	""	2024-08-05	11:01:46	nan	nan	101.734	23.887	101.255	34.9236	0	0	23.9271	-16000	0	16.0717	 33
DATA	1722848507	848489999	580	256	""	2024-08-05	11:01:47	nan	nan	101.734	23.9091	101.255	34.9236	0	0	23.95	-16000	0	16.0683	251
